Time,Wx_mean,Lx_mean
1,0.013972899674444445,0.05699953635405691
2,0.00777925877,0.031733867228661755
3,0.01048110581888889,0.042755489989462596
4,0.010755869925555557,0.043876332982086416
5,0.014459461113333336,0.043876332982086416
